id,reviewId,creationDate,criticName,isTopCritic,originalScore,reviewState,publicatioName,reviewText,scoreSentiment,reviewUrl
parasite_2019,2656652,2019-12-27,Arturo Magaña,False,5/5,fresh,Cine Premiere,Bong Joon-ho succeeds in showing us that the worst monster of our reality is the system that we have built. [Full Review in Spanish],POSITIVE,https://www.cinepremiere.com.mx/parasitos-parasite-critica.html
star_wars_the_last_jedi,2443730,2017-12-16,Susan Granger,False,10/10,fresh,SSG Syndicate,Rian Johnson's spectacular expansion of George Lucas' galactic adventure franchise is everything you want it to be - and more. What a great holiday gift for moviegoers! May the Force Be With You...,POSITIVE,http://www.susangranger.com/?p=10406
glass_2019,2548880,2019-01-17,Andrew J. Salazar,False,,fresh,Geeks of Color,"Through its many ups and downs, Glass still stands as a somewhat decent sequel to two of Shyamalan's best entries.",POSITIVE,https://geeksofcolor.co/2019/01/16/m-night-shyamalans-trilogy-trips-across-the-finish-line-with-glass-review/
aladdin,2590420,2019-05-25,Min-sik Yoon,False,6/10,fresh,Korea Herald,"Overall, it was a fun film, an OK film, but not one that leaves much of an impression.",POSITIVE,http://www.koreaherald.com/view.php?ud=20190521000750
booksmart,2586843,2019-05-16,Roger Moore,False,3/4,fresh,Movie Nation,Smells like teen spirit.,POSITIVE,https://rogersmovienation.com/2019/05/16/movie-review-one-night-makes-teens-see-theres-more-to-life-than-just-being-booksmart/
ant_man_and_the_wasp_quantumania,102780001,2023-02-15,Joe Passmore,False,3/5,fresh,Attitude,Michelle Pfeiffer and Jonathan Majors really shine despite a frustratingly uneven script,POSITIVE,https://www.attitude.co.uk/culture/film-tv/ant-man-and-the-wasp-in-quantumania-review-marvel-kick-off-phase-5-with-an-energetic-but-uneven-start-425606/
dune_2021,2834394,2021-10-25,Tim Brayton,False,3.5/5,fresh,Alternate Ending,The best kind of popcorn movie with aspirations to a monumental tone and a feeling of grave importance to its razzle dazzle.,POSITIVE,https://www.alternateending.com/2021/10/dune-2021.html
the_front_runner_2018,2533170,2018-11-16,Richard Roeper,True,3.5/4,fresh,Chicago Sun-Times,"""The Front Runner"" doesn't hit us over the head with parallels to today's political and media world. It doesn't have to.",POSITIVE,https://chicago.suntimes.com/entertainment/front-runner-review-movie-gary-hart-hugh-jackman-richard-roeper/
avengers_infinity_war,2603653,2019-07-10,Rucha Sharma,False,3.5/5,fresh,DNA India,The last half an hour of the movie is spectacular in every way. Twists and turns hit you full speed and a massive cliffhanger leaves you wanting.,POSITIVE,https://www.dnaindia.com/movie-reviews/report-avengers-infinity-war-review-marvel-s-biggest-movie-entertains-delivers-on-colossal-expectations-2608817
spider_man_homecoming,2403825,2017-07-07,Mike McGranaghan,False,3.5/4,fresh,Aisle Seat,"Spider-Man: Homecoming isn't really a Spider-Man movie. It's a Peter Parker movie, and that turns out to be an incredibly good thing.",POSITIVE,http://aisleseat.com/spiderman-homecoming
spider_man_no_way_home,2846556,2021-12-14,Kristy Puchko,True,,fresh,Mashable,"It's not only an enthralling thrill ride, not only a celebration of Spidey fandom, not only a rousing adventure but also an emotionally riveting drama that doesn't pull its punches.",POSITIVE,https://mashable.com/article/spider-man-no-way-home-review
knives_out,2699194,2020-06-26,Brent McKnight,False,B+,fresh,The Last Thing I See,"The sheer charisma of the actors, all working at a high level and having a damn good time, propels the movie and makes it truly special.",POSITIVE,https://www.thelastthingisee.com/2019/11/knives-out-2019-movie-review.html
ad_astra,2687508,2020-05-04,Shikhar Verma,False,3.5/5,fresh,High on Films,James Gray's Ad Astra is an inwards journey about the necessity to feel things.,POSITIVE,https://www.highonfilms.com/the-50-best-films-of-2019/
elvis,102711995,2022-07-24,Cameron Meier,False,2/5,rotten,MeierMovies.com,&#8220;Wise men say only fools rush in&#44;&#8221; Elvis Presley sang&#46; Director Baz Luhrmann should have taken those words to heart&#44; as almost all he does in Elvis&#44; his new whirlwind of a musical bio-pic&#44; is rush&#46; ,NEGATIVE,https://www.meiermovies.com/elvis/
taken_3,2241844,2015-01-10,Eric D. Snider,False,,rotten,GeekNation,This intentionally superficial character and premise have been stretched out much further than they were ever meant to be stretched.,NEGATIVE,http://geeknation.com/review-taken-3-again-fails-to-realize-what-we-liked-about-taken/
la_la_land,2366579,2016-12-09,Betty Jo Tucker,False,,fresh,ReelTalk Movie Reviews,"A modern love story filmed in a style reminiscent of glorious classic musicals, 'La La Land' emerges as a bittersweet treat for the eyes, the ears and the heart.",POSITIVE,http://www.reeltalkreviews.com/browse/viewitem.asp?type=review&id=5924
star_wars_the_rise_of_skywalker,2654378,2019-12-18,Evan Dossey,False,,fresh,Midwest Film Journal,"""The Rise of Skywalker"" brings the sequel trilogy's characters to a stirring emotional conclusion that befits the franchise as a whole ... while also offering a gratifying and delightfully bizarre denouement.",POSITIVE,https://midwestfilmjournal.com/2019/12/18/star-wars-the-rise-of-skywalker/
wonder_woman_1984,2751333,2020-12-15,JimmyO,False,9/10,fresh,JoBlo's Movie Network,"Wonder Woman 1984 is something special. From its breathtaking opening sequence to the refreshingly original final act, there is much to rejoice in.",POSITIVE,https://www.joblo.com/movie-news/wonder-woman-1984-review
blackkklansman,2498007,2018-08-16,Emma Simmonds,False,4/5,fresh,Radio Times,"The vibe is authentic, the period detail tasty, yet BlacKkKlansman burns with contemporary anger and concludes on an impossibly affecting, painfully relevant note.",POSITIVE,https://www.radiotimes.com/news/film/2018-08-16/blackkklansman-review-spike-lee-struts-his-film-making-stuff-with-ambition-and-gusto/
get_out,2655994,2019-12-23,Randall King,False,,fresh,Winnipeg Free Press,"Come for the scares. Stay for the humour, which is scalpel-sharp.",POSITIVE,http://www.winnipegfreepress.com/arts-and-life/entertainment/movies/
spider_man_far_from_home,2610735,2019-08-01,Sean Keane,False,,fresh,CNET,"Holland is spectacular, proving hilarious and warm throughout his European adventure -- he gets a pretty rad set of costumes too.",POSITIVE,https://www.cnet.com/news/spider-man-far-from-home-review-the-perfect-avengers-endgame-epilogue/
once_upon_a_time_in_hollywood,2616362,2019-08-16,Michael J. Casey,False,,fresh,Boulder Weekly,Only in dreams.,POSITIVE,https://www.boulderweekly.com/entertainment/screen/only-in-dreams/
three_billboards_outside_ebbing_missouri,2426821,2017-10-13,Emma Simmonds,False,5/5,fresh,The List,"It's all about McDormand - truly a performer you can build a whole film around, and one who can whisk a scene away from even her most seasoned peers.",POSITIVE,https://film.list.co.uk/article/96500-three-billboards-outside-ebbing-missouri/
taken_3,2522072,2018-10-24,Aaron Peterson,False,4/10,rotten,The Hollywood Outsider,"[Taken 3] is as clichéd and flawed an action vehicle as I have seen in some time, and when it came to a close I was just glad to finally see it end.",NEGATIVE,https://www.thehollywoodoutsider.com/taken-3-film-review/
black_panther_2018,2554358,2019-02-03,Carla Renata,False,10/10,fresh,The Curvy Film Critic,"Ryan Coogler has permanently stitched himself into the Hollywood fabric as one of the most innovative directors stretching across multiple genres. What Coogler does with Black Panther is inspiring, admirable and transformative.",POSITIVE,https://wp.me/p2v8yf-38H
ant_man_and_the_wasp_quantumania,102779555,2023-02-14,Jeff Nelson,False,2/5,rotten,Showbiz Cheat Sheet,Ant-Man and the Wasp&#58; Quantumania is an unwieldy and monotonous repackaging of what came before&#46;,NEGATIVE,https://www.cheatsheet.com/entertainment/ant-man-and-the-wasp-quantumania-movie-review.html/
the_batman,102662391,2022-02-28,David Gonzalez,False,4/4,fresh,The Cinematic Reel,Batman &#40;1989&#41; walked so&#160;The Dark Knight&#160;could run&#44; and now&#160;The Batman&#160;flies its way into the pantheon of comic book film transcendence&#46;,POSITIVE,https://thecinematicreel.com/the-batman/
joker_2019,2632484,2019-10-04,Daniel M. Kimmel,False,2/5,rotten,North Shore Movies,"Director Phillips, best known for the inane Hangover movies, wants to show he can be serious and profound, but has bitten off more than he can chew.",NEGATIVE,https://northshoremovies.wordpress.com/2019/10/03/review-joker/
black_panther_2018,2455656,2018-02-06,Brian Lowry,True,,fresh,CNN.com,"Black Panther pounces toward the head of the class in a way that should make the King, and his key subjects, a cornerstone of an already-formidable roster.",POSITIVE,http://www.cnn.com/2018/02/06/entertainment/black-panther-review/index.html
star_wars_the_last_jedi,2525226,2018-10-31,Ian Thomas Malone,False,,fresh,ianthomasmalone.com,The Last Jedi offers aimless entertainment.,POSITIVE,https://ianthomasmalone.com/2017/12/the-last-jedi-offers-aimless-entertainment/#comments
the_front_runner_2018,2554090,2019-02-02,David Stratton,True,4/5,fresh,The Australian,The Front Runner is commendably even-handed in its portrayal of both the political system and the fourth estate. And Jackman's commanding performance should be required viewing.,POSITIVE,https://www.theaustralian.com.au/arts/review/did-we-learn-anything-from-hart-affair/news-story/a0e5b337d141c66c4b1dbcf8b7a445b5
ant_man_and_the_wasp_quantumania,102781334,2023-02-20,Wenlei Ma,True,3/5,fresh,News.com.au,A superhero epic of gargantuan proportions that overwhelms and overstimulates&#44; but still manages to deliver some human emotions despite the CGI circus&#46;,POSITIVE,https://www.news.com.au/entertainment/movies/movie-reviews/antman-and-the-wasp-quantumania-sacrificed-to-the-marvel-machine/news-story/ef0a5eb5c0462391f9bd1f414bd1b4d1
ant_man_and_the_wasp_quantumania,102779634,2023-02-14,Linda Marric,True,4/5,fresh,The Jewish Chronicle,Peyton Reed and screenwriter Jeff Loveness seem to have gotten the tone just right this time around&#46; ,POSITIVE,https://www.thejc.com/life-and-culture/all/film-review-ant-man-and-the-wasp-quantumania-silly-and-outrageous-451imglw27P6KEAfMB7BXk
dunkirk_2017,2518712,2018-10-14,Joey Magidson,False,4/4,fresh,Hollywood News,"This is a near perfect movie. Nolan has a master's grasp on the material, showcasing it from start to finish.",POSITIVE,http://www.hollywoodnews.com/2017/07/20/dunkirk-is-a-towering-achievement-from-christopher-nolan/
taken_3,2300345,2015-12-18,Norman Wilner,False,1/5,rotten,NOW Toronto,"There is no redeeming value to Taken 3. We don't get the satisfaction of a well-made action movie, the pleasure of elaborate stunt work or the pure joy of watching Liam Neeson badass his way through a bunch of heavies.",NEGATIVE,
thor_love_and_thunder,102706155,2022-07-05,David Rooney,True,,rotten,Hollywood Reporter,"The movie feels weightless, flippant, instantly forgettable, sparking neither love nor thunder.",NEGATIVE,https://www.hollywoodreporter.com/movies/movie-reviews/thor-love-and-thunder-1235175416
arrival_2016,2361163,2016-11-10,Matt Neal,False,4.5/5,fresh,ABC Radio (Australia),Remember all that crap at the end of Interstellar where it tried to get clever but failed horribly? This pulls it off.,POSITIVE,https://movies8mylife.blogspot.com.au/2016/11/arrival.html
solo_a_star_wars_story,2713507,2020-08-14,Tom Beasley,False,3/5,fresh,Flickering Myth,This could easily have been exhausting - and it occasionally is - but there's a certain joy to seeing these iconic characters done slightly differently.,POSITIVE,https://www.flickeringmyth.com/2018/05/movie-review-solo-a-star-wars-story-2018-2/
arrival_2016,2361632,2016-11-11,Kristy Puchko,True,,rotten,CBR,Villeneuve's indulgence in mood and melancholy mount to a conclusion that wastes its compelling premise and wallows in infuriatingly all-consuming sentimentality.,NEGATIVE,http://www.cbr.com/review-arrival-brings-mood-but-no-thrills/
the_post,2613447,2019-08-07,Linda and Al Lerner,False,,fresh,Movies and Shakers,[Steven] Spielberg knows how to grab your attention with great storytelling in a straightforward portrayal of this moment in history.,POSITIVE,https://moviesandshakers.com/119/
the_irishman,2655971,2019-12-23,Wenlei Ma,True,4/5,fresh,News.com.au,"The Irishman is a much more deliberate and weighty gangster film - by comparison, Goodfellas is a riot. But it's a vibe that works in its gravitas.",POSITIVE,https://www.news.com.au/entertainment/movies/new-movies/the-irishman-is-an-epic-luxurious-scorsese-classic/news-story/8180cbd00b62ae1428304b73ac66f01f
spider_man_into_the_spider_verse,2548995,2019-01-18,Amanda Greever,False,,fresh,The Daily Times (Tennessee),"The characters, screenplay and voice acting are so compelling, so effective, that it is able to rise above what would have easily undone a lesser movie.",POSITIVE,https://www.thedailytimes.com/columns/amanda_greever/review-a-visit-to-this-spider-verse-both-dazzling-and/article_29abc73d-35b9-5681-a137-ba4801d47eb7.html
a_star_is_born_2018,2524433,2018-10-30,Armond White,False,,rotten,National Review,"All Cooper and Gaga do is repeat a self-congratulatory Hollywood motto about artists ""having something to say."" Now is the wrong time for that.",NEGATIVE,https://www.nationalreview.com/2018/10/movie-review-a-star-is-born-remade-wrong-way/
